Status,QR_Data,File_Path,Region,Division,Track_ID,KM_Marker,Component_Type,Year,Serial_Number,Material,Size,Manufacturer,DB_Saved,Error
SUCCESS,IR-WR-BCT-021-114320-BOLT-2024-001001,output/qr_codes\IR-WR-BCT-021-114320-BOLT-2024-001001.png,WR,BCT,21,114320,BOLT,2024,1001,Steel,M20,Railway Component Co.,False,
SUCCESS,IR-CR-CSMT-105-089450-CLIP-2024-002001,output/qr_codes\IR-CR-CSMT-105-089450-CLIP-2024-002001.png,CR,CSMT,105,89450,CLIP,2024,2001,Steel,Standard,Track Solutions Ltd.,False,
SUCCESS,IR-NR-DLI-067-234100-PLATE-2024-003001,output/qr_codes\IR-NR-DLI-067-234100-PLATE-2024-003001.png,NR,DLI,67,234100,PLATE,2024,3001,Steel,Heavy Duty,Northern Rails Inc.,False,
SUCCESS,IR-ER-HWH-045-156780-SLEEPER-2024-004001,output/qr_codes\IR-ER-HWH-045-156780-SLEEPER-2024-004001.png,ER,HWH,45,156780,SLEEPER,2024,4001,Concrete,Standard,Eastern Rail Components,False,
SUCCESS,IR-SR-MAS-089-234560-ANCHOR-2024-005001,output/qr_codes\IR-SR-MAS-089-234560-ANCHOR-2024-005001.png,SR,MAS,89,234560,ANCHOR,2024,5001,Steel,Heavy Duty,Southern Track Works,False,
SUCCESS,IR-WR-VAPI-012-078920-BOLT-2024-001002,output/qr_codes\IR-WR-VAPI-012-078920-BOLT-2024-001002.png,WR,VAPI,12,78920,BOLT,2024,1002,Steel,M22,Western Component Mfg.,False,
SUCCESS,IR-CR-NAGPUR-078-345670-CLIP-2024-002002,output/qr_codes\IR-CR-NAGPUR-078-345670-CLIP-2024-002002.png,CR,NAGPUR,78,345670,CLIP,2024,2002,Steel,Standard,Central Rail Systems,False,
SUCCESS,IR-NR-AMB-034-123450-PLATE-2024-003002,output/qr_codes\IR-NR-AMB-034-123450-PLATE-2024-003002.png,NR,AMB,34,123450,PLATE,2024,3002,Steel,Heavy Duty,Northern Component Co.,False,
SUCCESS,IR-ER-ASN-056-234890-SLEEPER-2024-004002,output/qr_codes\IR-ER-ASN-056-234890-SLEEPER-2024-004002.png,ER,ASN,56,234890,SLEEPER,2024,4002,Concrete,Standard,Eastern Track Solutions,False,
SUCCESS,IR-SR-TPJ-091-456780-ANCHOR-2024-005002,output/qr_codes\IR-SR-TPJ-091-456780-ANCHOR-2024-005002.png,SR,TPJ,91,456780,ANCHOR,2024,5002,Steel,Heavy Duty,Southern Rail Works,False,
